Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,Daily_Return
2009-01-02,2.721686363220215,2.730384564060046,2.554037226218475,2.5756304672583537,746015200,,,2.721686363220215,2.721686363220215,,
2009-01-05,2.836552858352661,2.8845386270494378,2.7804693222595778,2.7942657187762197,1181608400,,,2.732626029423305,2.7261909316567814,,4.220416308238395
2009-01-06,2.789766788482666,2.9142292526031772,2.7708724008265406,2.877640546798946,1289310400,,,2.738068006476577,2.7286841025126987,,-1.6493988374736812
2009-01-07,2.729483842849731,2.774170305556812,2.7069904526804853,2.7534772194820034,753048800,,,2.7372504670835442,2.728715464878857,,-2.1608596776550804
2009-01-08,2.7801692485809326,2.793665726055566,2.7003930560001206,2.7120900298397097,673500800,,,2.7413379700832956,2.730733260318154,,1.8569593611619695
2009-01-09,2.716588973999023,2.8005640264937393,2.703393211800058,2.795465832185914,546845600,,,2.7389809228371744,2.730178582423286,,-2.2869210072143153
2009-01-12,2.6590068340301514,2.7288857765895536,2.625716607902898,2.712990156603704,617716400,,,2.7313643429507914,2.7273875334666924,,-2.1196485931438636
2009-01-13,2.6305136680603027,2.691395462126428,2.5897263276973637,2.646409280691181,798397600,,,2.721759516770745,2.7235885583527164,,-1.0715717464577779
2009-01-14,2.5591349601745605,2.6167174643595703,2.540840210080983,2.586426826388225,1021664000,,,2.7062714637615843,2.7171393976398477,,-2.71348933679465
2009-01-15,2.5006520748138428,2.522845744932796,2.400782261078231,2.4163773531078525,1831634000,,,2.6866886648141803,2.7086496987054947,,-2.2852599128546425
2009-01-16,2.469162702560425,2.5306441531327795,2.411280460137487,2.528245014719559,1047625600,,,2.665971906504299,2.699258051797845,,-1.2592464409812876
2009-01-20,2.345299482345581,2.459265255971349,2.345299482345581,2.4571658348236154,919914800,,,2.63543167563204,2.685377323584031,,-5.0164057672830715
2009-01-21,2.4841578006744385,2.485657587304835,2.3785895195590543,2.380988657616996,1089270000,,,2.6210246399217922,2.677486361901302,,5.920707328600194
2009-01-22,2.6500084400177,2.699194277354555,2.573831446739748,2.640411686902462,1409528400,,,2.6237850018356883,2.676408796337239,46.4592991169653,6.676332691032516
2009-01-23,2.6500084400177,2.6952951521815165,2.594225623248156,2.603822176151575,763770000,,,2.6262824721387372,2.6753734882462767,46.4592991169653,0.0
2009-01-26,2.6883976459503174,2.728285849468511,2.6482089244705675,2.665004094517903,692238400,,,2.632198202977935,2.6758842395287883,42.08337749802279,1.4486446666698516
2009-01-27,2.7210872173309326,2.7456802359045525,2.6913962052543208,2.704891883220633,618038400,,,2.640663823392506,2.677656905324951,46.273999315497115,1.215950007613542
2009-01-28,2.8251566886901855,2.849149273464093,2.744180613913186,2.7627750873459767,861406000,,,2.6582345724684755,2.68344121055496,54.95502481581082,3.8245547844413696
2009-01-29,2.7891674041748047,2.8293553210465796,2.777170712255149,2.7918662594330987,592729200,,,2.6707043659643164,2.687587335794954,50.47323034221396,-1.273886317861772
2009-01-30,2.7030935287475586,2.807761477341915,2.6994943204445803,2.777171109838325,651478800,2.6624547481536864,,2.673789048134149,2.688195421793095,49.30665286929887,-3.0860060711455084
2009-02-02,2.744479179382324,2.759174721485117,2.6662027937577353,2.672201137646014,558247200,2.663594388961792,,2.680521441586356,2.690402627973065,54.46557739713826,1.5310476753625624
2009-02-03,2.788567304611206,2.800563997974938,2.707592026948076,2.75677686804467,599309200,2.6611951112747194,,2.6908115237791987,2.694252223135345,58.1252458992282,1.606429575421453
2009-02-04,2.805661678314209,2.8866379479824658,2.792166200636312,2.795765408454838,808421600,2.661989855766296,,2.701749633734914,2.6986212213776533,63.4226438509449,0.6130163569921798
2009-02-05,2.8929355144500732,2.916628176279645,2.7777698935595354,2.782268452083835,749246400,2.6701624393463135,,2.719957812850643,2.7062413897334343,70.70938917877159,3.110632932346391
2009-02-06,2.9907076358795166,2.9991051211692152,2.909131921485415,2.9097313557404125,687209600,2.6806893587112426,,2.7457435102819643,2.7173969287979864,75.73249063992031,3.379685476605898
2009-02-09,3.0743815898895264,3.089077137272778,2.9841084840511125,2.9991047495838146,715010800,2.698578989505768,,2.777042375006494,2.7313963272721646,87.45765485559289,2.7977978524605263
2009-02-10,2.9340243339538574,3.0743818387098165,2.9109313004523463,3.038992995670997,849060800,2.712329864501953,,2.791993037763386,2.739342523612623,73.07700492561675,-4.565381746925967
2009-02-11,2.9037322998046875,2.9484187711820837,2.872241787711885,2.890236823677585,674973600,2.7259907960891723,,2.8026348722435097,2.745789181502508,65.117930927693,-1.032439772179694
2009-02-12,2.977210998535156,2.991606829853187,2.874041841779786,2.874041841779786,817188400,2.746894598007202,,2.8192611699855714,2.7548645468763375,67.92640334476101,2.5304914897082753
2009-02-13,2.9739110469818115,2.997303986085087,2.942720261299045,2.968812054564063,608977600,2.7705575466156005,,2.833989729699499,2.7634546057040033,66.26786159663672,-0.11084036552894139
2009-02-17,2.835052013397217,2.9103296286596696,2.827554684056721,2.9052314366996623,678238400,2.7888520121574403,,2.834090899575472,2.7662623471821686,55.792615019647506,-4.669239644054624
2009-02-18,2.830255031585694,2.8746415960487677,2.780770272833597,2.8506492102246623,684779200,2.8130997896194456,,2.833725578814541,2.768771864217601,50.288225922541336,-0.1692026032980909
2009-02-19,2.71838903427124,2.8266562039840077,2.7024934133205183,2.800264475917614,922804400,2.824811351299286,,2.8227411460008933,2.766796066964803,46.31482382616983,-3.952505907277881
2009-02-20,2.7351834774017334,2.7711725545464363,2.6692026684204944,2.681199361155109,750316000,2.8290701031684877,,2.814402320420021,2.7655563575701727,51.80071715622751,0.6178086697217644
2009-02-23,2.607722043991089,2.759176733818222,2.5945262784481256,2.748680024781725,786982000,2.826955783367157,,2.7947184845696467,2.759366776645503,43.001945446014176,-4.660068856942845
2009-02-24,2.7066917419433594,2.7258860513812686,2.6092212086814053,2.6227168884173095,807105600,2.827870488166809,,2.786334985271905,2.757301089010125,46.03312156533507,3.795254873130527
2009-02-25,2.7339835166931152,2.7867677655586607,2.6767009082964215,2.694995665234189,833053200,2.8285153031349184,,2.781349131121544,2.756386674409458,46.56116671432657,1.0083074598720598
2009-02-26,2.674901247024536,2.786767601690721,2.668003549256416,2.7591758095591192,629868400,2.8210025310516356,,2.7712112373980196,2.7531911674531866,39.248757231943706,-2.1610324022743876
2009-02-27,2.6785004138946533,2.7381823609699323,2.629314772539612,2.637112623132673,706658400,2.8154691815376283,,2.7623816351596036,2.7502621182940286,33.02894544760831,0.13455326151277092
2009-03-02,2.637411594390869,2.7351828145783923,2.629314028969135,2.6428103050249914,770929600,2.812185084819794,,2.7504797265149623,2.7458366075527283,25.09397589444586,-1.5340232650567054
2009-03-03,2.6503071784973145,2.721386151985095,2.6356116364164595,2.667102140935933,724340400,2.807476484775543,,2.740939483846615,2.742090355432908,31.07986929484595,0.48894848774727606
2009-03-04,2.7342824935913086,2.7822682488792743,2.6826983322126337,2.7045914889487936,741403600,2.8047622442245483,,2.740305484774681,2.7417841647724535,39.45498333507421,3.168512532256984
